date,game,home_team,away_team,home_result,away_result,home_penalty,away_penalty,stadium,city,lat,long,country
2018-06-14 15:00:00,group-a,Russia,Saudi Arabia,5,0,,,Luzhniki Stadium,Moscow,55.715765000000005,37.5515217,Russia
2018-07-01 14:00:00,knockout-round_16,Spain,Russia,1,1,3.0,4.0,Luzhniki Stadium,Moscow,55.715765000000005,37.5515217,Russia
2018-06-20 12:00:00,group-b,Portugal,Morocco,1,0,,,Luzhniki Stadium,Moscow,55.715765000000005,37.5515217,Russia
2018-06-26 14:00:00,group-c,Denmark,France,0,0,,,Luzhniki Stadium,Moscow,55.715765000000005,37.5515217,Russia
2018-06-17 15:00:00,group-f,Germany,Mexico,0,1,,,Luzhniki Stadium,Moscow,55.715765000000005,37.5515217,Russia
2018-06-20 15:00:00,group-a,Uruguay,Saudi Arabia,1,0,,,Rostov Arena,Rostov-on-Don,47.209581,39.738424,Russia
2018-06-26 18:00:00,group-d,Iceland,Croatia,1,2,,,Rostov Arena,Rostov-on-Don,47.209581,39.738424,Russia
2018-06-17 18:00:00,group-e,Brazil,Switzerland,1,1,,,Rostov Arena,Rostov-on-Don,47.209581,39.738424,Russia
2018-06-23 15:00:00,group-f,South Korea,Mexico,1,2,,,Rostov Arena,Rostov-on-Don,47.209581,39.738424,Russia
2018-07-02 18:00:00,knockout-round_16,Belgium,Japan,3,2,,,Rostov Arena,Rostov-on-Don,47.209581,39.738424,Russia
2018-06-19 18:00:00,group-a,Russia,Egypt,3,1,,,Krestovsky Stadium,Saint Petersburg,59.97274,30.221408,Russia
2018-06-15 15:00:00,group-b,Morocco,Iran,0,1,,,Krestovsky Stadium,Saint Petersburg,59.97274,30.221408,Russia
2018-06-26 18:00:00,group-d,Nigeria,Argentina,1,2,,,Krestovsky Stadium,Saint Petersburg,59.97274,30.221408,Russia
2018-07-03 14:00:00,knockout-round_16,Sweden,Switzerland,1,0,,,Krestovsky Stadium,Saint Petersburg,59.97274,30.221408,Russia
2018-06-22 12:00:00,group-e,Brazil,Costa Rica,2,0,,,Krestovsky Stadium,Saint Petersburg,59.97274,30.221408,Russia
2018-06-25 14:00:00,group-a,Saudi Arabia,Egypt,2,1,,,Volgograd Arena,Volgograd,48.734195,44.548345,Russia
2018-06-22 15:00:00,group-d,Nigeria,Iceland,2,0,,,Volgograd Arena,Volgograd,48.734195,44.548345,Russia
2018-06-18 18:00:00,group-g,Tunisia,England,1,2,,,Volgograd Arena,Volgograd,48.734195,44.548345,Russia
2018-06-28 14:00:00,group-h,Japan,Poland,0,1,,,Volgograd Arena,Volgograd,48.734195,44.548345,Russia
2018-06-15 12:00:00,group-a,Egypt,Uruguay,0,1,,,Central Stadium,Yekaterinburg,56.83249,60.573584999999994,Russia
2018-06-21 15:00:00,group-c,France,Peru,1,0,,,Central Stadium,Yekaterinburg,56.83249,60.573584999999994,Russia
2018-06-27 14:00:00,group-f,Mexico,Sweden,0,3,,,Central Stadium,Yekaterinburg,56.83249,60.573584999999994,Russia
2018-06-24 15:00:00,group-h,Japan,Senegal,2,2,,,Central Stadium,Yekaterinburg,56.83249,60.573584999999994,Russia
2018-06-25 14:00:00,group-a,Uruguay,Russia,3,0,,,Cosmos Arena,Samara,53.278146,50.238853999999996,Russia
2018-06-21 12:00:00,group-c,Denmark,Australia,1,1,,,Cosmos Arena,Samara,53.278146,50.238853999999996,Russia
2018-07-02 14:00:00,knockout-round_16,Brazil,Mexico,2,0,,,Cosmos Arena,Samara,53.278146,50.238853999999996,Russia
2018-06-17 12:00:00,group-e,Costa Rica,Serbia,0,1,,,Cosmos Arena,Samara,53.278146,50.238853999999996,Russia
2018-06-28 14:00:00,group-h,Senegal,Colombia,0,1,,,Cosmos Arena,Samara,53.278146,50.238853999999996,Russia
2018-06-30 18:00:00,knockout-round_16,Uruguay,Portugal,2,1,,,Fisht Olympic Stadium,Sochi,43.402011,39.955709000000006,Russia
