nationality,player,Rank,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
Russia,Igor Akinfeev,294.0,CSKA Moscow,32.0,6,540.0,,,1,,,58.2,0.2,,6.86
Russia,Igor Akinfeev,102.0,CSKA Moscow,32.0,28,2520.0,,,1,,,54.9,0.1,,6.78
Russia,Igor Akinfeev,139.0,CSKA Moscow,32.0,6,540.0,,,,,,43.0,0.5,,6.98
Russia,Vladimir Gabulov,228.0,Arsenal Tula,34.0,20,1800.0,,,2,,,41.8,0.1,,6.3
Russia,Andrey Lunev,172.0,Zenit St. Petersburg,26.0,8,720.0,,,,,,67.7,0.4,,7.04
Russia,Andrey Lunev,119.0,Zenit St. Petersburg,26.0,20,1743.0,,,1,,,70.0,0.5,,6.73
Russia,Sergei Ignashevich,257.0,CSKA Moscow,38.0,5,450.0,,,,,0.4,79.1,2.8,,6.92
Russia,Sergei Ignashevich,25.0,CSKA Moscow,38.0,23(2),2073.0,1,1,,,0.5,82.8,2.4,3,7.11
Russia,Sergei Ignashevich,248.0,CSKA Moscow,38.0,4,316.0,,,,,,75.5,2,,6.7
Russia,Mario Fernandes,16.0,CSKA Moscow,27.0,25,2134.0,,3,2,,0.6,79.9,2.8,,7.17
Russia,Mario Fernandes,116.0,CSKA Moscow,27.0,6,540.0,,1,1,,0.3,77.5,2.7,,7.03
Russia,Vladimir Granat,136.0,Rubin Kazan,31.0,26(1),2419.0,,,10,,0.1,78.2,1.3,,6.68
Russia,Fyodor Kudryashov,,,,,,,,,,,,,,
Russia,Andrei Semyonov,,,,,,,,,,,,,,
Russia,Igor Smolnikov,684.0,Zenit St. Petersburg,29.0,4(1),330.0,,,2,,0.2,76.6,0.8,,6.31
Russia,Igor Smolnikov,34.0,Zenit St. Petersburg,29.0,20(2),1853.0,,,4,1,0.7,82.5,1.1,1,7.06
Russia,Ilya Kutepov,31.0,Spartak Moscow,24.0,15(3),1444.0,1,,5,,0.2,86.0,2.1,,7.08
Russia,Aleksandr Yerokhin,,,,,,,,,,,,,,
Russia,Yuri Zhirkov,460.0,Zenit St. Petersburg,34.0,2(2),216.0,,,,,,80.8,0.5,,6.65
Russia,Yuri Zhirkov,154.0,Zenit St. Petersburg,34.0,10(7),964.0,1,,2,,0.7,74.0,0.9,,6.62
Russia,Daler Kuzyaev,163.0,Zenit St. Petersburg,25.0,6(1),540.0,1,1,2,,0.4,83.7,0.7,,7.05
Russia,Daler Kuzyaev,30.0,Zenit St. Petersburg,25.0,22(4),1997.0,6,2,3,,1,84.2,0.5,1,7.08
Russia,Aleksandr Golovin,38.0,CSKA Moscow,22.0,5,450.0,2,,2,,2.8,83.1,0.8,,7.43
Russia,Aleksandr Golovin,9.0,CSKA Moscow,22.0,26(1),2283.0,5,3,8,,2.1,82.4,0.3,2,7.25
Russia,Aleksandr Golovin,216.0,CSKA Moscow,22.0,6,537.0,,1,2,,1.3,84.7,0.5,,6.78
Russia,Alan Dzagoev,493.0,CSKA Moscow,27.0,6,454.0,1,1,1,,2.7,80.8,0.5,,6.61
Russia,Alan Dzagoev,96.0,CSKA Moscow,27.0,20(1),1624.0,3,6,3,,2,78.5,0.3,1,6.8
Russia,Alan Dzagoev,263.0,CSKA Moscow,27.0,4(1),368.0,1,,1,,2,71.7,0.6,,6.67
Russia,Roman Zobnin,74.0,Spartak Moscow,24.0,10(4),1006.0,,1,2,,1.4,81.8,1.1,,6.85
Russia,Aleksandr Samedov,178.0,Spartak Moscow,33.0,18(3),1468.0,2,1,3,1,1.3,81.5,0.4,,6.56
Russia,Aleksandr Samedov,372.0,Spartak Moscow,33.0,2(2),192.0,1,,,,0.8,85.3,,,6.4
Russia,Yuri Gazinsky,,,,,,,,,,,,,,
Russia,Anton Miranchuk,561.0,Lokomotiv Moscow,22.0,8(2),690.0,1,1,1,,1.1,80.5,0.4,,6.53
Russia,Anton Miranchuk,108.0,Lokomotiv Moscow,22.0,22(7),1980.0,4,5,2,,1.4,79.0,0.7,2,6.76
Russia,Denis Cheryshev,586.0,Villarreal,27.0,1(4),192.0,1,1,1,,0.6,79.7,,,6.49
Russia,Denis Cheryshev,238.0,Villarreal,27.0,9(15),922.0,2,1,2,,1.2,71.7,0.5,,6.55
Russia,Artyom Dzyuba,,,,,,,,,,,,,,
Russia,Aleksei Miranchuk,,,,,,,,,,,,,,
Russia,Fyodor Smolov,,,,,,,,,,,,,,
Saudi Arabia,Mohammed Al-Owais,,,,,,,,,,,,,,
Saudi Arabia,Yasser Al-Musailem,,,,,,,,,,,,,,
Saudi Arabia,Abdullah Al-Mayuf,,,,,,,,,,,,,,
Saudi Arabia,Mansoor Al-Harbi,,,,,,,,,,,,,,
Saudi Arabia,Yasser Al-Shahrani,,,,,,,,,,,,,,
Saudi Arabia,Mohammed Al-Burayk,,,,,,,,,,,,,,
Saudi Arabia,Motaz Hawsawi,,,,,,,,,,,,,,
Saudi Arabia,Osama Hawsawi,,,,,,,,,,,,,,
Saudi Arabia,Ali Al-Bulaihi,,,,,,,,,,,,,,
Saudi Arabia,Omar Othman,,,,,,,,,,,,,,
Saudi Arabia,Abdullah Alkhaibari,,,,,,,,,,,,,,
Saudi Arabia,Abdulmalek Alkhaibri,,,,,,,,,,,,,,
Saudi Arabia,Abdullah Otayf,,,,,,,,,,,,,,
Saudi Arabia,Taiseer Al-Jassam,,,,,,,,,,,,,,
Saudi Arabia,Hussain Al-Moqahwi,,,,,,,,,,,,,,
Saudi Arabia,Salman Al-Faraj,,,,,,,,,,,,,,
Saudi Arabia,Mohamed Kanno,,,,,,,,,,,,,,
Saudi Arabia,Hatan Bahbir,,,,,,,,,,,,,,
Saudi Arabia,Salem Al-Dawsari,,,,,,,,,,,,,,
Saudi Arabia,Yahia Al-Shehri,,,,,,,,,,,,,,
Saudi Arabia,Fahad Al-Muwallad,,,,,,,,,,,,,,
Saudi Arabia,Mohammad Al-Sahlawi,,,,,,,,,,,,,,
Saudi Arabia,Muhannad Assiri,,,,,,,,,,,,,,
Egypt,Essam El Hadary,,,,,,,,,,,,,,
Egypt,Mohamed El-Shennawy,,,,,,,,,,,,,,
Egypt,Sherif Ekramy,,,,,,,,,,,,,,
Egypt,Ahmed Fathi,,,,,,,,,,,,,,
Egypt,Abdallah Said,,,,,,,,,,,,,,
Egypt,Saad Samir,,,,,,,,,,,,,,
Egypt,Ayman Ashraf,,,,,,,,,,,,,,
Egypt,Mohamed Abdel-Shafy,,,,,,,,,,,,,,
Egypt,Ahmed Hegazi,70.0,West Bromwich Albion,27.0,38,3387.0,2,,4,,0.4,73.2,2.7,3,6.98
